
======================================================================
  Arbitrage Paper Trading System
  Exchanges: binance, kraken, coinbase
  Symbols: BTC-USD, ETH-USD, SOL-USD
  Redis: connected
  Database: connected
  API Server: http://localhost:8000
  Starting Balance: $10,000.00
  Press Ctrl+C to stop
======================================================================

[10:17:12] Messages: 31000 (binance=29334  kraken=30  coinbase=1636) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:13] Messages: 31200 (binance=29525  kraken=30  coinbase=1645) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:13] Messages: 31400 (binance=29725  kraken=30  coinbase=1645) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:13] Messages: 31600 (binance=29920  kraken=30  coinbase=1650) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:14] Messages: 31800 (binance=30103  kraken=30  coinbase=1667) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:14] Messages: 31800 (binance=30103  kraken=30  coinbase=1667) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:15] Messages: 32000 (binance=30297  kraken=30  coinbase=1673) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:15] Messages: 32200 (binance=30495  kraken=30  coinbase=1675) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:16] Messages: 32400 (binance=30685  kraken=30  coinbase=1685) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:17] Messages: 32600 (binance=30866  kraken=30  coinbase=1704) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:18] Messages: 32800 (binance=31060  kraken=30  coinbase=1710) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:20] Messages: 33000 (binance=31234  kraken=31  coinbase=1735) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:17:20] Messages: 33200 (binance=31433  kraken=31  coinbase=1736) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
